,Order Qty,Replenishment LT,LT Offset,Manufacturing LT,Action,SupplyType,Status,Rule,Multi-sourced,Special Demand,Flagged,Item,Description,Part Status,Shortage Date,Part Type Code,Product Family,Material Type,Max Order Qty,Min Order Qty,Multiple order Qty,Container Qty,Phase-in,Phase-out,UOM,Report Field 1,Planner Code,Supplier Code,Order Value,Original Order Qty,On-hand Qty,Excess Qty,Shortage Qty,Planned Receipt,Material,Capacity,RTO Priority,Resource ID,Work Center Code,WC Supplier Code,Ordering Group,Production Version,Supply type,Location,Reference,Settings
21,,Greater Than 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Greater Than Or Equal 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,Less Than 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,Less Than 9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,Less Than 999999999999999999999999999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,Less Than Or Equal 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,Blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,Not Blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,"In Range (1,10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,Greater Than Or Equal 1 AND Less Than Or Equal 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,Equals 1 OR Equals 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,Equals 1 OR Greater Than 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,GROUPBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,REQUIRESATTENTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,REQUIRESRELEASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,REQUIRESAPPROVAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,RELEASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,POSTPONED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,TODO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,REJECTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,"('GROUPBY', 'REQUIRESATTENTION', 'REQUIRESRELEASE')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,"('GROUPBY', 'REQUIRESATTENTION', 'REQUIRESAPPROVAL')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,"('GROUPBY', 'REQUIRESATTENTION', 'RELEASED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,"('GROUPBY', 'REQUIRESATTENTION', 'POSTPONED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,"('GROUPBY', 'REQUIRESATTENTION', 'TODO')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,"('GROUPBY', 'REQUIRESATTENTION', 'REJECTED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,"('GROUPBY', 'REQUIRESRELEASE', 'REQUIRESAPPROVAL')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,"('GROUPBY', 'REQUIRESRELEASE', 'RELEASED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,"('GROUPBY', 'REQUIRESRELEASE', 'POSTPONED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,"('GROUPBY', 'REQUIRESRELEASE', 'TODO')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,"('GROUPBY', 'REQUIRESRELEASE', 'REJECTED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,"('GROUPBY', 'REQUIRESAPPROVAL', 'RELEASED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,"('GROUPBY', 'REQUIRESAPPROVAL', 'POSTPONED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,"('GROUPBY', 'REQUIRESAPPROVAL', 'TODO')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,"('GROUPBY', 'REQUIRESAPPROVAL', 'REJECTED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,"('GROUPBY', 'RELEASED', 'POSTPONED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,"('GROUPBY', 'RELEASED', 'TODO')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,"('GROUPBY', 'RELEASED', 'REJECTED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,"('GROUPBY', 'POSTPONED', 'TODO')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,"('GROUPBY', 'POSTPONED', 'REJECTED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,"('GROUPBY', 'TODO', 'REJECTED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,"('REQUIRESATTENTION', 'REQUIRESRELEASE', 'REQUIRESAPPROVAL')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,"('REQUIRESATTENTION', 'REQUIRESRELEASE', 'RELEASED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,"('REQUIRESATTENTION', 'REQUIRESRELEASE', 'POSTPONED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,"('REQUIRESATTENTION', 'REQUIRESRELEASE', 'TODO')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,"('REQUIRESATTENTION', 'REQUIRESRELEASE', 'REJECTED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,"('REQUIRESATTENTION', 'REQUIRESAPPROVAL', 'RELEASED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,"('REQUIRESATTENTION', 'REQUIRESAPPROVAL', 'POSTPONED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,"('REQUIRESATTENTION', 'REQUIRESAPPROVAL', 'TODO')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,"('REQUIRESATTENTION', 'REQUIRESAPPROVAL', 'REJECTED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,"('REQUIRESATTENTION', 'RELEASED', 'POSTPONED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,"('REQUIRESATTENTION', 'RELEASED', 'TODO')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,"('REQUIRESATTENTION', 'RELEASED', 'REJECTED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,"('REQUIRESATTENTION', 'POSTPONED', 'TODO')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,"('REQUIRESATTENTION', 'POSTPONED', 'REJECTED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,"('REQUIRESATTENTION', 'TODO', 'REJECTED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,"('REQUIRESRELEASE', 'REQUIRESAPPROVAL', 'RELEASED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,"('REQUIRESRELEASE', 'REQUIRESAPPROVAL', 'POSTPONED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,"('REQUIRESRELEASE', 'REQUIRESAPPROVAL', 'TODO')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,"('REQUIRESRELEASE', 'REQUIRESAPPROVAL', 'REJECTED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,"('REQUIRESRELEASE', 'RELEASED', 'POSTPONED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,"('REQUIRESRELEASE', 'RELEASED', 'TODO')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,"('REQUIRESRELEASE', 'RELEASED', 'REJECTED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,"('REQUIRESRELEASE', 'POSTPONED', 'TODO')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,"('REQUIRESRELEASE', 'POSTPONED', 'REJECTED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,"('REQUIRESRELEASE', 'TODO', 'REJECTED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,"('REQUIRESAPPROVAL', 'RELEASED', 'POSTPONED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,"('REQUIRESAPPROVAL', 'RELEASED', 'TODO')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,"('REQUIRESAPPROVAL', 'RELEASED', 'REJECTED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,"('REQUIRESAPPROVAL', 'POSTPONED', 'TODO')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,"('REQUIRESAPPROVAL', 'POSTPONED', 'REJECTED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,"('REQUIRESAPPROVAL', 'TODO', 'REJECTED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,"('RELEASED', 'POSTPONED', 'TODO')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,"('RELEASED', 'POSTPONED', 'REJECTED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,"('RELEASED', 'TODO', 'REJECTED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,"('POSTPONED', 'TODO', 'REJECTED')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,GROUPBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,Contains 'Z',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,Starts With 'Z',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,Ends With 'Z',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,Contains 'a' OR Contains 'A',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,Contains 'a' AND Contains 'A',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,Starts With '5500',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,Contains '24',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,Starts With '5500' OR Starts With '500',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,Ends With '9',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,Contains '4' AND Contains '2',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,Starts With '5' AND Ends With '1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,Greater Than 2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,Less Than 9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,Less Than 999999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,Greater Than 2000-01-01 AND Less Than 9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,Blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,Not Blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,Equals '2022-02-28',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,Equals '2022-02-28' OR Equals '2022-03-02',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,Equals '2022-02-28' OR Blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Equals 1 OR Equals 5,Less Than 9223372036854775807,Less Than Or Equal 3,Equals 1,REJECTED,Purchased,"('RTO', 'REDVOLUME', 'GREENVOLUME')","('BUFFER', 'TWOBIN', 'MANUAL')",GROUPBY,,true,Starts With '5' AND Ends With '1',,"('GROUPBY', '02', '05')",Equals '2022-02-28' OR Blank,"('GROUPBY', 'ADB', 'APD')",YBSE,E,Equals 1 OR Equals 5,Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals 1 OR Equals 5,Equals 5,Greater Than 2000-01-01,Less Than 9999-12-31,"('KAR', 'KG', 'TO')",Contains 'Z',Greater Than 3,"('GROUPBY', 'T124', 'I480')",Equals 1 OR Equals 5,Greater Than Or Equal 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,Greater Than 3,"In Range (1,10)",Less Than 999999-12-31,,"('GROUPBY', 'N/A', 'Partially Available')",Equals 5,,Contains 'a' AND Contains 'A',,Ends With 'Z',Contains 'a' OR Contains 'A',"('GROUPBY', 'Purchased', 'Manufactured')","('GROUPBY', 'I351', 'R175')",Starts With 'Z',Starts With 'Z'
121,Equals 1 OR Greater Than 5,Greater Than 3,Equals -1,Not Blank,"('GROUPBY', 'REQUIRESATTENTION', 'REQUIRESRELEASE')",GROUPBY,"('BLUEFLOW', 'GREENFEP', 'GREENVOLUME')",BUFFER,false,false,,Starts With 'Z',Starts With 'Omala',GROUPBY,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('FP1', 'FPE', 'PRL')","('GROUPBY', 'YBLU', 'YPCK')","('GROUPBY', 'E', 'F')",Greater Than Or Equal 1 AND Less Than Or Equal 10,,Greater Than Or Equal 3,Greater Than 3,Less Than 9999-12-31,Greater Than 2000-01-01,"('EA', 'LB', 'SKU')",Contains 'a' OR Contains 'A',"In Range (1,10)","('GROUPBY', 'P083', 'I480')",Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals 1 OR Equals 5,Greater Than Or Equal 1 AND Less Than Or Equal 10,"In Range (1,10)",Greater Than Or Equal 3,Greater Than 2000-01-01,"('GROUPBY', 'NA', 'No')",Not Available,Not Equals 3,Contains 'a' AND Contains 'A',,Starts With 'Z',Starts With 'Z',Contains 'a' AND Contains 'A',Purchased,"('I340', 'I324', 'P082')",Ends With 'Z',Starts With 'LOC'
122,Less Than Or Equal 3,Equals same value as in table,Less Than Or Equal 3,Blank,"('GROUPBY', 'REQUIRESRELEASE', 'TODO')",,"('GREENFLOW', 'RTO', 'GREENVOLUME')","('GROUPBY', 'BUFFER', 'MANUAL')",true,,,Contains '4' AND Contains '2',Ends With 'Z',,Less Than 9999-12-31,"('D1P', 'FP2', 'IBC')","('GROUPBY', 'YPAC', 'YRAW')",GROUPBY,Equals 1 OR Equals 5,"In Range (1,10)",Equals 5,Greater Than Or Equal 3,Not Blank,Less Than 999999-12-31,EA,Contains 'Z',"In Range (1,10)","('GROUPBY', 'I480', 'I353')",,Not Blank,Greater Than 3,Equals 1,Equals ABCDEF,Greater Than 2000-01-01 AND Less Than 9999-12-31,NA,"('GROUPBY', 'N/A', 'Not Available')",Less Than Or Equal 3,Ends With 'Z',Starts With 'Z',,Contains 'a' AND Contains 'A',Contains 'a' OR Contains 'A',Distributed,I335,Contains 'a' AND Contains 'A',Contains 'a' OR Contains 'A'
123,Blank,Not Blank,Equals 1 OR Greater Than 5,Less Than Or Equal 3,"('GROUPBY', 'REQUIRESATTENTION', 'POSTPONED')","('Manufactured', 'Distributed', 'Purchased')","('GROUPBY', 'YELLOWVOLUME', 'GREENVOLUME')","('FLOW', 'CYCLIC', 'MANUAL')",,GROUPBY,GROUPBY,Contains 'Z',Starts With 'Z',GROUPBY,Equals '2022-02-28' OR Equals '2022-03-02',"('GROUPBY', 'APZ', 'FBE')","('YBLU', 'YBSE', 'YRAW')",,Not Equals 3,Equals 1 OR Equals 5,Less Than Or Equal 3,Equals ABCDEF,Greater Than 2000-01-01 AND Less Than 9999-12-31,Less Than 999999-12-31,"('GROUPBY', 'LB', 'SKU')",,Greater Than Or Equal 1 AND Less Than Or Equal 10,"('R037', 'P083', 'I480')",Equals 1 OR Greater Than 5,Greater Than 3,Equals 1 OR Greater Than 5,Greater Than Or Equal 3,Equals 5,Not Blank,NA,"('GROUPBY', 'Available', 'N/A')",Not Equals 3,Starts With 'Z',Contains 'a' OR Contains 'A',Contains 'Z',Contains 'a' OR Contains 'A',Ends With 'Z',Manufactured,"('GROUPBY', 'I339', 'I351')",,Ends With 'Z'
124,Equals ABCDEF,"In Range (1,10)",Equals +1,Not Equals 3,"('GROUPBY', 'REQUIRESAPPROVAL', 'RELEASED')","('GROUPBY', 'Manufactured', 'Purchased')","('BLUEFLOW', 'REDFEP', 'BLUEVOLUME')","('CYCLIC', 'RTO', 'MANUAL')",,false,true,Contains 'a' OR Contains 'A',Contains 'Omala',02,Less Than 9999-12-31,"('FP1', 'FP2', 'LBL')","('GROUPBY', 'YBSE', 'YRAW')",F,Less Than 3,Equals 1 OR Equals 5,Not Equals 3,Equals 6,Blank,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('L', 'LB', 'TO')",Starts With 'Z',Less Than Or Equal 3,R037,"In Range (1,10)",Not Equals 3,Blank,Equals 1,Equals ABCDEF,Blank,"('GROUPBY', 'NA', 'Yes')","('GROUPBY', 'N/A', 'Not Available')",Equals ABCDEF,Contains 'a' OR Contains 'A',Contains 'Z',Contains 'a' OR Contains 'A',Contains 'Z',Contains 'a' OR Contains 'A',GROUPBY,"('I477', 'F477', 'C311')",,Contains 'a' AND Contains 'A'
125,Equals 1 OR Greater Than 5,Equals 1 OR Equals 5,Less Than 3,Less Than Or Equal 3,"('GROUPBY', 'POSTPONED', 'TODO')","('Manufactured', 'Distributed', 'Purchased')","('BLUEFLOW', 'GREENFEP', 'RTO')","('RTO', 'TWOBIN', 'MANUAL')",,GROUPBY,GROUPBY,Starts With '5' AND Ends With '1',Contains 'Z',05,Equals '2022-02-28' OR Equals '2022-03-02',"('ADP', 'FBF', 'FP3')","('YBSE', 'YPAC', 'YNOP')",GROUPBY,Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals 5,Greater Than 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,Greater Than 2000-01-01,Blank,"('EA', 'KAR', 'SKU')",Contains 'a' OR Contains 'A',Less Than 3,"('P083', 'I480', 'I353')",Equals 5,Equals 1 OR Greater Than 5,"In Range (1,10)",Equals 5,Less Than Or Equal 3,,NA,"('Available', 'N/A', 'Partially Available')",Equals 1,Contains 'a' AND Contains 'A',Contains 'a' OR Contains 'A',Starts With 'Z',Starts With 'Z',Ends With 'Z',"('GROUPBY', 'Purchased', 'Manufactured')","('GROUPBY', 'I349', 'U022')",Starts With 'SHELL',Contains 'Z'
126,,Not Equals 3,Equals same value as in table,"In Range (1,10)","('REQUIRESATTENTION', 'TODO', 'REJECTED')",Manufactured,"('GROUPBY', 'REDFLOW', 'REDFEP')","('CYCLIC', 'FEP', 'TWOBIN')",true,,false,Contains '24',,05,Equals '2022-02-28' OR Blank,"('ADP', 'APZ', 'BSE')","('YBSE', 'YNOP', 'YRAW')",F,Equals 1,,Equals 1 OR Equals 5,"In Range (1,10)",Not Blank,Not Blank,"('EA', 'KAR', 'SKU')",,Equals -1,"('T124', 'R037', 'I353')","In Range (1,10)",Greater Than Or Equal 3,Equals 1 OR Equals 5,Greater Than Or Equal 1 AND Less Than Or Equal 10,Not Blank,Less Than 9999-12-31,GROUPBY,"('GROUPBY', 'Not Available', 'Partially Available')",Greater Than Or Equal 3,,Contains 'Z',Contains 'a' OR Contains 'A',Contains 'a' AND Contains 'A',Starts With 'Z',GROUPBY,"('I389', 'I337', 'U022')",Contains 'Z',Contains 'a' AND Contains 'A'
127,Equals 1 OR Equals 5,"In Range (1,10)",Greater Than 3,Equals 1 OR Equals 5,,GROUPBY,"('REDFLOW', 'YELLOWFLOW', 'REDVOLUME')","('GROUPBY', 'RTO', 'TWOBIN')",true,true,GROUPBY,Ends With '9',Starts With 'Refrig' OR Contains 'Gadus',05,Equals '2022-02-28' OR Equals '2022-03-02',"('FPC', 'PKG', 'PRL')","('GROUPBY', 'YPAC', 'YNOP')",,Equals 1 OR Equals 5,Equals 1 OR Greater Than 5,Equals 1,Equals ABCDEF,Greater Than 2000-01-01,Greater Than 2000-01-01,"('GROUPBY', 'KAR', 'L')",,Equals -1,"('T124', 'R037', 'I353')",Equals 1 OR Greater Than 5,Greater Than Or Equal 1 AND Less Than Or Equal 10,Not Equals 3,"In Range (1,10)",Less Than Or Equal 3,Blank,"('GROUPBY', 'NA', 'No')","('GROUPBY', 'N/A', 'Not Available')",Equals 6,Contains 'Z',Ends With 'Z',Contains 'a' OR Contains 'A',Contains 'a' OR Contains 'A',,"('Purchased', 'Manufactured', 'Distributed')","('GROUPBY', 'I335', 'P082')",Starts With 'SHELL' AND Ends With '3',Ends With 'Z'
128,Equals 1 OR Greater Than 5,Equals same value as in table,Greater Than 3,Greater Than Or Equal 3,"('GROUPBY', 'POSTPONED', 'REJECTED')","('GROUPBY', 'Manufactured', 'Distributed')","('REDFLOW', 'BLUEFLOW', 'RTO')","('FLOW', 'BUFFER', 'TWOBIN')",false,false,,Starts With '5500' OR Starts With '500',Contains 'Omala',,Greater Than 2000-01-01,"('ADB', 'APD', 'MTO')","('YBSE', 'YINT', 'YPCK')",,Equals 1,Not Blank,Less Than 3,Less Than Or Equal 3,Greater Than 2000-01-01 AND Less Than 9999-12-31,Less Than 9999-12-31,"('GROUPBY', 'LB', 'UG6')",Starts With 'Z',Not Equals 3,"('GROUPBY', 'P083', 'I480')",Blank,Equals ABCDEF,Equals 1 OR Equals 5,Blank,Greater Than Or Equal 3,Less Than 9999-12-31,,"('GROUPBY', 'N/A', 'Not Available')",Greater Than Or Equal 3,,Ends With 'Z',Contains 'a' AND Contains 'A',,Ends With 'Z',GROUPBY,"('I389', 'I324', 'I009')",Contains 'Z',Contains 'Z'
